,content
1504,"Hi all!I would appreciate your ideas on this one. My life is drastically different from what I want it to be, not sure why that happened though...So I asked a somewhat naive, but truly desperate question:How can I get the life I want?got 38Any ideas? I'm lost..."
1505,"Please forgive my self-centered bombarding this forum with my many issues and questions...really having a tough time lately...With consideration to nearly every aspect of my life today and over the past five years, I'm just at a loss and really starting to lose hope and motivation to push through....  It feels that the harder I've tried, the worse things get and yet doing nothing and accepting this ""place"" feels so very wrong as well....I've always believed I am in control of my own destiny and am responsible to make the life I want and live by my beliefs.  Just at a total loss...and overwhelmingly frightened by the lack of success regardless of my many and tenacious attempts to do better, get better, BE better...and get beyond....So, in desperation and fear that grows and grows, I pleaded with the IC to give me insight into what on earth I need to do...Received hex 25 unchanging.   Again, please forgive my desperate place and multiple requests for assistance.  I just don't know what else to do or try Thank you"
1506,"Forgive my numerous posts this morning..I'm having a very contemplative time lately...and really appreciate the thoughts/insight I get in this terrific communityWithout getting too terribly detailed into the situation...I asked the IC about writing a letter to someone and received hex 1.1. --> 44That seems a pretty loud and clear ""NO""  not a good idea at all.... So, I then asked the IC, ""is there ANY thing at all I *can* (or should) do regarding this situation?  Response 49.2.4.5 --> 11This sounds overall positive about major changes leading to the ""peace"" I desperately long for.  I can see that the message could be that the only thing I can ever do about any ""situation"" really, is change myself and keep making the most positive changes to my character as I am able.  The strange thing is that I really like this reading and yet it leaves me feeling empty and powerless today, as though I have to accept that nothing can be done really, except the only thing that can ever be done....change myself! I'm frustrated with the whole:""don't like your situation? Do something about it...change yourself, change your perspective, change YOU.""  I'm a firm believer in this as a life-style and way to address life challenges in general and at the same time, I feel that the work I've done on myself over the past several years really hasn't led to anything being any different at all..  Therefore, all my hard work and attempts at doing this either aren't ""enough"" or aren't working....I don't know.........hoping for some thoughts beyond my own point of feeling powerless, somewhat useless, and very frustrated....which I'm sure are affecting the way I'm interpreting this messageThank you all so much"
1507,"Hello everyone and thanks for reading. I am in a difficult situation and I asked the IC What should I do to finish with this situation? I got hex 62 (2) changing to 32. Can you give me any ideas? I read about 62 line 2 and my interpretation is stay still but I don't know what 32 means, can you share your thoughts with  me? Thanks a lot."
1508,"Hi all,I have met someone I seemed to have an ease and stuff in common with and yes he is cute  we are sort of emailing as he is far away...I'm worried about getting carried away/over enthusiastic... I know this is pointless ego based fear that I need to stand back from but that doesn't stop you from feeling it! Observing the workings of your mind/feelings that is... which I guess is rising above it and seeing the bigger picture and remember everything is transitory (I received 39-20 when the anxiety started up).I asked the Yi for a general commentary on it:11.2,5 > 27Seems good! I think saying that I must remember he's far away but still keep up the connection, and line 5 is good and I think corresponds with line 2. Hex 27 - I do feel nourished by him as we have stuff in common etc.The last email I sent, afterwards I thought eek maybe too long/enthusiastic.. I asked Was that too much?Hex 28- Something in excess to breaking point!! Eeek. Maybe the I ching is saying that's what I need to bear in mind... not to allow myself to lean on this too heavily... not to let the waters rise else they spill as tears!? lol...Then I asked what next ? (energy/approach wise)32.2 > 9I need to return to the duties at hand I think. Makes absolute sense.Any commentary on these readings would be great or general advice. I realise now that it's true when they say there perhaps isn't 'the one' full stop - that there are a few out there who could be - tick all or most boxes that is... but it also comes down to timing and circumstance... and also I guess your headspace at the time of meeting. I feel like, besides them being the wrong person which I see now, people I've liked in the past have led me to make mistakes etc. making me I hope stronger and more sensible for the future, but in the process those people go 'poof'! I don't want to keep doing that though... :bows:"
1509,"hello,i asked yi a question about my current housing crisis. i basically made a big move and am trying to find an affordable home and a job and am struggling. i've been staying with friends but mainly with my new boyfriend but am getting paranoid about being dependent on him and about my having nowhere else to go. i really like being with him and am happy in his flat and i think he likes having me around too. i would like to stay with him until i find work, so i can relax a bit and focus on jobs and not spend all my limited savings on paying full rent not knowing when the next income will be, but i don't know if he wants this. i asked yi today what i should do to resolve this feeling of disquiet.i read the answer as encouraging me to go alone and not rely on anyone else. and that if i do this then the crisis will pass. would you agree? how do you interpret this?thanks"
1510,"OK...My son who is a gifted musician but very learning disabled received his music theory exam back as I had earlier posted .  He has a serious math disability and although registered as such things went awry and he took his exam without his accommodations and received a 45, failed!  Much of the test was writing music in difficult time signatures...I think he needs more tutoring in this area. Friday, March12 is the last day to drop this class... An I ching for dropping the class produced hexagram 57, 1ST AND 6TH divided changing to Hex 5. The Hex for keeping this class and not dropping it was Hex 15, 1st divided, changing to Hexagram 36.  I am very confused and really concerned..."
1511,"I'm wondering something....and it seems I've read posts on this before, but can't recall what they said or what the general thoughts were..so I'm posting to ask myselfI did a reading this morning, mostly looking for some thought-provoking material I suppose... I asked IC for insight into the dynamics and energies surrounding a date I went on on Friday that was very nice.  The response was 31.4 -->39.  31.4 seems to be a nice, positive line, yet it seems a bit contradicting...  Then the line transforms into 39:Obstruction...  And I wonder how a seemingly overall  positive hex, with a seemingly positive changing line then transforms into a hex which doesn't seem at all positive really?How would one interpret this?  Is the process one of which something basically positive is transforming into something possibly negative?  Or is the transformed hex something that's an underlying (already present) issue of the 1st hex and changing line?  It's confusing to me to get positive, positive, leading to negative....  And when I research my readings for insight, this often seems to be the transition in my readings...Curious and perplexed....would love to hear more on this!  I apologize if this topic has been posted on many times alreadyNamaste':bows:"
1512,"Hello Everyone. I found this wonderful site , been reading a bit, trying to learn.Would like a little help or insight to a desision am trying to make. Relationship insurities. I met a amazing man, about 4 months ago. It's progressing nicey, taking things day by day.  We see or talk to each other every day of the week. But.. I can not seem to shake my nagging doubts from my head and afraid that it will show on the outside. This man is beautiful, fit, romantic, and says and does all the right things.Am scared to let myself go with him. I think its because of all the attention he gets from old friends when we go out. Girl acually hit on him right in front of me.Anyways.... I askedIs there any basis to my fears.. got 13 to 6There is this relaionship taking me 10 to 59finally... should I continue this relationship   46Can you help me?Thank you"
1513,"I am going to do an interneship at a company for workexperience.I've allready been to two company's before. And they were both content about me, but due to the economic crisis, they are not hiring people. So after working there for three months, I left.Now there is one company which said it would also take me for three months, but they are not hiring any people for the time being. So again, no chance of getting a steady job here.This is company H. It is a very big company, and close to where I live. But it is very formal.I asked 'how about working at H?""Answer: 60.4>58There is another company I have an appointment with for an interview tomorrow. I think they also are willing to offer me a place for three months. They also allready told me they are not going to hire anybody the coming time. So no chance at all for a steady job there after the three months.This is a middle big company, and very informal. The woman on the phone came on very friendly. And it is allso very close to where I live.I asked 'how about working at P?""Answer: 14.4.5.6>5 Then there is this third company. I have an appointment for an interview coming monday.They haven't said anything about hiring me after the three months of workexperience, so there is a slight chance of finding a paying job there maybe... I hope. I am going to talk about that during the interview.This is not as close to where I live as the other two comany's, but not too far away either. Maybe a 15/20 minute drive. It is related to healthcare, where initially my heart lies so much more then any of the other company's I am in contact with, or have allready worked at.I asked ""How about working at C?""Answer: 47.2.4>8I kind of have my hopes on the last company. Because I really would like to have a steady job. I hate starting at a new place again and again.But 47 doesn't sound very optimistic, allthough 8 does. When I look at these readings, I would say that company P is the most promising. But I think line 4 is telling me not to get any hope up of staying there after the three months.How do you see these answers?This will be the third place in less then a year.Whenever I start to feel comfortable at my job and know how things work around the place, I have to say goodbye again.So I asked ""Where will I find a job where they want me to stay?""Answer: 21.6>51Usually I take 21.6 as a warning that I am not listening. But I don't think I have covered my ears for anything relating to this.And I promise to take all the advise given to me by the kind people here into consideration. "
1514,"Recently started back into the whole ""dating"" thing...or at least I'm trying it...Have a date with a man who seems like a super nice person, very interesting, attractive, etc.  I'm very nervous...not sure why, but think it's mostly because dating is rather uncomfortable for me and I've not done much of it throughout my life and now I'm getting close to 40 (ohh geesh!) and it really seems almost a foreign concept of sorts to me Asked IC for both advice and insight into this date tonight.  Received Hex 35 unchanging.  This seems a positive hex under the circumstances...progress and growth of sorts..both of which I hope (and think!) apply to the potentials and possibilities here...especially as far as me just being willing to keep an open mind and try out the dating thing...  Should I have asked two separate questions?  Was hoping for advice on how to make it go well AND insight on what its potential would be....  I seem to confuse myself when I ask too many questions on the same topic, so I was trying to keep it simpleCan't really get any specific thoughts into the response in regards to the question itself though...  Any thoughts or insights?  I would very much appreciate them:bows:Namaste'"
1515,"Oh dear.My school placement in China is in the middle of nowhere half an hour from the nearest town. We have a 10pm curfew, it is not safe to leave the grounds and nowhere to go even if we should want to, the school is disorganised and not fulfilling the contract. Also I have social worries - there's 4 girls here, already close *and hating it here too but I think adjusting as they've started teaching and maybe that has compensated, though I haven't tried teaching yet so that could clinch it for me if I'm bad! I also don't feel a connection with any of them, they're younger than me and loud types... The organisation promised it would find placements to suit your requirements but they've just chucked people anywhere. But maybe I should be stoical? I have some time after the placement to see China... if I make it through this 4 months. The area is very industrial and so smoggy - I thought that would get better on leaving Beijing but it got worse! And the dry air and pollution has given me nosebleeds and a chesty cough! Although I think that's getting better now...I asked the I ching - Can I stay here?29.1,4,5 > 54I think this answer is saying yes it's bad but I can survive *29.4 and I should just accept this compromising position...?Thanks all.Aside from this China has been great - I went to the Temple of Confucius in Beijing! Felt v calm there - very interesting trees and statues of tortoises and a cute on of the man himself. Will put up pics when I'm back for you to see here. Also went to the Great wall which was surreal - I want to go back there.I've been using the I ching here - have had a few social ups and downs due to the whole program involving a large group of us - and where there's groups there's problems for me - but I've mainly stayed numb and got along ok. Despite sensing bitching .. sheesh, I have made some good connections.But I've felt disconnected from the answers I've been getting - though not always. But at the beginning I felt as if the I ching had abandoned me in China. Maybe because when travelling it's so important to think for yourself!The food is crazy - skewered live seahorses, sugar on chips, goo on everything, stuff that looks like one thing, but tastes and feels like another. But the rice and noodle dishes have been fine. Think it was just the buffet food we had at the hotel - I never thought I'd be one of those touruists who seek western food in foreign countries!Hope you're all good and thanks in advance for any comments on my reading.Em x"
1516,"Hi,What's the time frame (weeks, months, etc) for 46.6>18?Thanks"
1517,I had a very very frightening vision few moments ago so i jump on the coins to ask what it is all about. The answer is very clear and I perfectly understand it but i just wonder if anyone have any practical experience with it . 51.5->17thank you all.
1518,"Hi,At present I am studing to acquire a CertIV in Community Services and I asked what area of Community Services will I become employed in? I rec'd Hex 23.6>2Does this mean I will be helping people rebuild their lives after say a divorce or something like that?tku and blessings,Melissa"
1519,"HiI've asked about another issue regarding time scale as well, and got 63.1.3.6>20How does this transfer into time, weeks, months, etc?Thanks"
1520,"Hi All,  I know it will not make any difference but my curiosity got the best of me so I asked. This past Saturday I finished an interview for medical school. At the end of my interview with a Faculty member he made some very complimentary statements then said 'you will go to medical school' but then as I was walking out the door after he said 'maybe not here but you will go.' So then I wrote him a thank you email confirming my particular interest in the school and he wrote back.. ""It was my pleasure. Thanks for applying."" I'm not quite going crazy, it is what it is, but I can interpret both in opposite fashion. He may mean youre good but not good enough to go here or you will have other options and may not choose our school. As for the email it could be rote, polite brush-off - thank you for applying but he didnt have to respond at all plus he CC'd the exchange to the Dean. So I asked the I Ching: What is the nature of Dr. X's comments? 58.1 --> 47From LiSe it says:Harmonious exchange,   auspicious.Inner contentment, not needing anything from outside, is the base of freedom. You find your power within yourself. Making a true and good contact with others is only possible when this inner freedom exists.It seems like it might be good and I may interpret the comments positively but moving to 47 is unclear. Or is it saying simply not to worry about it?                                                                                                  Thanks very much"
1521,"One part of me says this isn't meant to be. He's out of my league. Timings off. So many layers of ""get over it""On the other hand, I go into fantasy land and want to be with him."
1522,I am coming up on 25 years in a marriage that has had its ups and downs...a spectacular husband who used to be cruel and insensitive and has totally changed...BUT he has become super religious and I am not...His family who he is very close to are NOT supportive of me as I am not super religious as they are...and are often unkind.  There are issues such as having a special needs son who is severely bipolar and I believe needs a stable home...Divorce would rock his structures...I wonder if I should leave and try to really find someone I am more in tune to spiritually(my husband is dead set against I Ching) etc...or stay.   I received 55 no changing lines...which would indicate to me to stay in this marriage and see what I can do to make it better. Any thoughts on this as I am quite in pain about it...
1523,"I've been a bit ill recently, mostly with symptoms that seemed stress-related, struggling to sleep well, mild anxiety attacks.I consulted the I Ching, and received 36.2.6 > 26I have some thoughts of my own, but would be interested to hear yours.I think it's interesting how the lines on #36 use the metaphor of darkness wounding light.Ta,"
1524,"I asked the question"" what do i need to know about my husband  regarding our relationship"".  I got the hexagram 3 with no changing lines. We have been married for six years and have a child.  We have been having difficulties in our relationship.  My husband is very unemotional and I am the oppposite. We do not have a good sex life, he hardly touches me.  I am working, very independent and good looking too.  I can say the same for him also. He does not understand me and is very cut and dry to me bordering to rude. I do think on divorce, sometimes I think maybe he is not loyal...the positive is that he has helped me if i need anything done..logistics wise and supported me in my career....so I asked this question for insight...please help."
1525,"Hello Again!I thought this could be a good reading to share on this forum. I'd love to hear your thoughts.So, I have been asking Yi over the last many months about a certain situation that I'm struggling with. I gained a lot insight from the readings though not as much peace as I would wish... Today, I wanted to ask another question as to how things will develop, what I should do, etc. Instead I started with a question: ""Can I ask you about this?""What I got was Hex 2.1.4 changing to 51.Based on what I read in WikiWing, 2.1 can mean that things will soon change/the potential that is there will start to realize (whatever that may be) and 2.4 that there is no point in asking because, the future is ""hidden for the time being"" as there is an element of surprise that comes with it (51).. Does that sound right?Thank you!!Viola"
1526,"Hi hiI asked ""What is the situation between S and me?"" and got 42.1.6 > 8The exact same answer came for another question ""What is the significance of S in my life?""Changing line 6 warns of misfortune. Its not good at all. 8 however seems to suggest union. Any interpretations / views on how to read this?Today I asked some questions (which i had asked on previous occasions as well)(1) ""Does S still love me?"" Answer was 17 unchanging. It means following where there is enthusiasm. S has not been replying for a long time now. I cannot see any enthusiasm. What do i make of this?Some time ago, the answer to whether S loves me was 13 > 1; and then 1 on another occasion (albeit this answer i derived on a different site) ... (2) ""Should I give up on this relationship?"" Answer was 30.1.2.4 > 18Hexagram 30 line 2 speaks of supreme good fortune. Does it mean that it is good to give up or not? 18 on the other hand speaks of fixing the spoilt parts ..(3) Following from the 2nd question, I asked ""Are you teaching me to work on this relationship?"" Answer was 17.4.5 > 24The way i see it, it says good fortune if there is sincerity. Overall, I need guidance on whether i should remain in this relationship and keep faith and hope. Pls pls help me out on this.(I have been consulting I Ching quite a lot of late ,, sometimes the readings come up to be different from the same scenarios i put forth a few days ago ,, might i be consulting just too much?)Grateful for guidance, anj"
1527,"Hi, A number of you have been following my story and I thank you.At last I don't feel the desperate need to fill my void with a relationship however I do hope to have another partner one day in which  a healthy and positive relationship exists.So I asked the IChingWhat do I need to do to bring a new positive relationship into my life   Hex 55.1.2.3>40At the moment I am doing yoga and meditation at least 3  days a week and this is helping me immensely as I am starting to see things clearer so as I go I wld like to be able to clear whatever 'rubbish' I have/had that brought in a not so positive relationship in the past.Blessings,Melissa"
1528,"Hi there,I've posted before about my relationship which is great in itself, but beset by continuous practical difficulties (you can see here from a previous post: http://www.onlineclarity.co.uk/friends/showthread.php?t=9421)Its just got even worse, if that's possible, we are still very far away and his physical condition has deteriorated, the operation he's waiting for is much more serious than we originally thought and he is really traumatised. It also means that we won't be able to be together for months. I'm upset and have no idea of the best way to proceed or to help...I asked: How do we get through this? 18:3 to 4I'd really appreciate any thoughts you have on this. 18 talks about remedying, about approaching a spoiled situation in a new way, and 18:3 seems to say that there will be little blame when dealing with inherited difficulties. Not sure if I've got that right though...4 always confuses me, and in this context I have no idea what to think!Any ideas? Thanks!E"
1529,"Hi Everyone, I got the answer 26.1.3 changing to hex 4 when I asked the question "" why can't I let go of L?""He is an ex from a awhile back and though I've dated others since and have no contact with L anymore, I find my thoughts always going back to him constantly. Despite us both having moved on, I can't figure out why I still get these thoughts and feelings since I know it is over and moreso, it wasn't a very satisfying relationship for me!I understand the hex 4 part of this reading as basically telling me that I am being foolish and that is why I still have these thoughts, but really that is all I can understand here. The moving lines here confuse me and I am not sure how to read them pertaining to my question. I see line one saying I must ""desist"" but I am not taking any action towards this man so I don't see why that came up. I just doesn't seem to fit my question of why the thought of him keeps coming back in my mind. If anyone can see anything here in the first hex and lines that I am missing, I would be more than grateful!"
1530,"Hi, My partner and I have been together for a while and everything is ok between us. However, I've been having a very strong feeling of threat lately, as if something negative (?) would happen. I asked the IC about this threatening feeling with regards our relationship and got 9.1.3>59Line 1, 'return to the path' , feels like saying 'stop wondering off into something that's bot there, stop being paranoid, come back home'. Which is a relief, if I take it my imagination is taking me over...should stop this and go on with my life.However, Line 3 isn't very encouraging as it does imply some complications for a husban and wife, but I can't read into it clearly.Nothing to say of 59, dispersing + the fanyao of both lines 59.1 + 59.3...Any light shed on this would be very helpful.Many thanks."
1531,"Hey guys, I've been reading lots on this site and I'm really amazed at the depth of knowledge here. I can tell many in this community have a shorthand with the I Ching that I would love to take advantage of. I am an aspiring writer and I'm actually trying to make a living at it now. I am struggling continually with my output, it is never enough for me. Too many hours are wasted, I am too easily daunted by the task of trying to publish and facing rejection. So I asked""How do I write more consistently?"" and I got 1 with no moving lines. This was very fortuitous to my mind because it is about creativity and action, but all I can take from it is basically ""Force yourself to,"" and a vote of confidence. Is there more to it?"
1532,"Hi folks, I' ve been reading I Ching for a while, and even though I got confused sometimes (like everybody else, as I noticed), the messages make me rethink about different situations, which gives me a better insight; however, I really get confused this time with this ""waiting"" and ""influence"" analogy hex. 5, lines 1, 2, 4 changing to 31.Anyway, my question:  some advice/guidance on how to deal in this situation (below), since I am a bit anxiousSummary: This guy and I have known each other for a year, we occasionally meet each other, since I'm living abroad and he lives in my home country. I would like to go back when I finish my college degree, I still have a year and half, and for that reason we never talk about the future... We enjoy the time as much as we can when we are together.... I believe the best part of it is that we can be ourselves, without having to impress, or pretend... at least is how I feel...Anxiety: Because I've met a very close ""friend"" -female- of him, who wanted to show me she has been around...Can somebody help me? Hex.5 Waiting (Nourishment)1 Waiting in the meadow...2 Waiting on the sand4 Waiting in blood.Hex.31 Influence - WooingTksC."
1533,"Hello everyone,I asked if I was going to achieve my life goals this year (getting my fiction published) and my professional goals (becoming a better editor one day, right now I'm an assistant) this year. I drew 29.4.6 > 6. Great: ""Danger"" and ""Conflict"". How auspicious! Now I'm terrified.I always think that the I Ching is an augury, but I think it might be interpreting my internal conflict and its manifestation in my daily affairs.I love/hate my current job right now. I work part time, can barely afford to get by. I work for a tiny company, two man team. I work 18 hours per week. In recent months, I've had the opportunity to go to major book fairs, pitch a book idea of mine, create a sales presentation, talk to head honchos in the industry: all sorts of really expansive goodness! I turned down an offer for another job (one I was headhunted for) in December to stick with the company I work for now, because I loved my bosses so much and I knew that if I skipped out on them, they would be screwed without me. But, I can't really grow in my company. They give me loads of responsibility, but, they don't have enough money to offer me more hours. They don't have enough money to give me a raise or subsidize further training. I'm on just above minimum wage for a really complex, highly skilled job that is really demanding and stressful. The monster project unleashed in December; it's a complex web of confusion. The book was in a horrific state, it was going nowhere fast. Anyway, I wasn't really qualified for it, but my bosses gave me a lot of responsibility; they left me and a newly appointed project editor to sort out the mess. I was iffy about whether I could do it at first, but after lots of caution and lots of inner cultivation and lots of straight up hard work, I did it! I got all the content! I'm doing a good job getting the book to where it needs to go! But my bosses are querulous, constantly nit-picking, telling me ""I need to prioritize"", saying cutting things, getting short with me. That is totally pissing me off! I'm doing the best I can! I really am! But the sick thing about it is, that I'm getting results, the book is now almost done and it's lookin' good!I've got a job interview this coming Friday for my dream job at a dream company: a major, world-renowned publisher. And, guess what, it's part time! It will fill in those extra two days that I desperately need!What makes this even more complex is that I'm foreign. I live in Europe but I'm American. My mom really misses me (she's still in the States) and like, I feel this inner conflict because I'm going after my dreams and she's all wasting away alone at home. I'm 25 and I'm all about carpe diem right now, I want to rage it! But I also feel like I'm an evil person for going after what I want. I really think that I can make it though, I'm getting there!Compounding all of this guilt is the line of doom: the sixth changing line in hexagram 29.Bear in mind that in recent weeks my professional opportunities have flourished: I've gotten three job interviews (dream job for dream company, part time fits right into my schedule; the other for a very picky recruitment agency that specializes in publishing; the last for a writer/researcher position for another publisher), I've submitted my fiction to two literary competitions and, my recent castings related to my career have been generally really nice and supportive: hexagram 1 unchanging, 4.1.2.3 > 22 and 17 unchanging.Oh gosh I give up. What does this all mean?Thanks for listening to me "
1534,"Dear Clarity Community,For quite a number of years I have felt the burden of an unfulfilling relationship. The Yi has given me advice but I never seem to be able to act on it. Now, I asked the Yi: What should I do about my relationship (w. my husband). The answer, quite amazing, was:43 with ALL lines moving to 23Any thoughts on this will be very welcome, thank you!"
1535,"Hi,Here's the context:There is a guy I've known since college. A few years ago, he told me he was interested in me. Unfortunately, at that time, I was in a relationship. And I always saw him only as a friend. We continued to talk afterwards and, since I'm single, we decided to see each other again. We saw each other a few times, but I didn't know what I wanted from him. Plus, I had a lot in mind. So, I cancelled a lot of our dates and came back later on. It was really on and off. Because I just didn't know what I felt. But since February, I really wanted to see him. We went out and he was not the same. I kind of forgot about it until I discovered he met someone and they are now together. Since then, I'm mad at myself. I'm mad because I wanted to be with him, but it's too late. So, I talked to him, I told him I was sorry for the way I acted with him, that I didn't know what I wanted. And all he told me was that he didn't know what to say, that he didn't expected this, that he was surprised. He told me he needed to think about it. But it's been awhile and it doesn't seem like he's really thinking about it. So, I asked him: ""Do you really need to think about it or is it clear to you already? Because if it is clear, please tell me now and it will be easier."" And... I got not answer. I'm going crazy right now and needed some insights.I therefore asked:1. Is he going to decide to be with me? 47 > 472. What will be his decision about me? 28.2 > 313. How is he going to act with me? 30.2.3.5.6 > 58Now, I didn't like question 1 and that's why I decided to ask the question differently. I didn't like the ""Yes"" or ""No"" kind of answer. But after getting the second answer, I'm kind of confused. It doesn't relate to answer 1 at all. Answer 1 is negative, but not answer 2. Am I right? Any insight or advice would be really appreciated. Thank you,Lyrandra"
1536,"Well, hello all again.To those kind kind soul who helped me with my last reading on the changing lines in Hexagram 44, in attempts to help me achieve inner peace and calm, thank you. :bows:Now, for those who advised me the last time round, you'd know that I have relationship problems on top of all the problems I had weeks back. Truth is, we quarreled, talked about splitting up and were ignoring one another for 2 weeks. That's long, considering we talk to one another every day previously.So I consulted on the situation of my relationship and got Hexagram 32 unchanging. Having gone through the archives to find out what others think of Hexagram, I could only conclude that Hexagram 32 could mean:a) A heads up for a loving lasting relationshipb) An indication that the current situation is going to last for awhileOooookaaayyy...  That didn't help much coz it might just mean he still loves me tons or that we'll continue to ignore one another. But time was a really good proof, as in, we were on talking terms again a few days after this reading. He took the initiative.Now, my question: When a reading is done for a relationship, how are we suppose to know what a hexagram like 32 mean, like in my case? Or are we just suppose to let time tell?And to help myself achieve that calm and peace, I took a break for throwing coins, time after time desperately. So I stepped back, and instead, took to rumination and study of Iching. What happened was I read just hexagrams that appealed to me that particular day, mulled it over, and thought about its meaning. and I've got a question about hexagram 54.If a married couple gets hexagram 54, how does the picture of marrying maiden in an inferior position applies?Does it mean there is a 3rd party? Does it mean an unequal relationship?Whewwww, I do hope I managed to put my ideas across clearly. They seems kinda hard to put to words for me since they are kinda vague. Any thoughts appreciated!! :bows:"
1537,"Hi,After a life of very little joy I have now found I just don't want to be on this earth anymore.I don't feel depressed particularly but just have not interest in living.As I have always appeared to have an optimistic nature but  I am really struggling at the moment to have any zest for life.I have my work which I love, I am studying which is very interesting but other than that there seems to be little that interests me.As I said life has been very 'bloody' and I just feel over it.I asked   What do I need to know about my life right nowI rec'dHex 31.1.34>3I wld appreciate your insight.Melissa"
1538,"Hi,A property manager I was renting off, gave me a really hard time over the 12 months I was renting with him and in the end I left of my own accord to a better situation. However the property manager put a black mark against me. Meaning - he registered me as a 'bad' renter on the official nationwide rental thingo that is accessible to all landlords or property managers, so if I look for rentals again there will be a good chance I won't be able to get a place because of the black mark on the register.I asked the IChing  Is it worthwhile for me to fight against the property managers black mark  -    I rec'd   53.2.5>18This sort of sh** is the last thing anyone needs especially in todays economic climate.Blessings,Melissa"
1539,"hello all,For quite some time I want to move but I don't have the guts for it. I've been wondering if it is the right move to leave what I have here for almost nothing some place else.Some days i think ""yeah i should do it"" and the day after: ""I am too scared"".I asked the IC what would happen if I leave here to move to S. this fall?I received 26.2 to 22Ok, line 2 seems to talk about what's happening now. I am stuck, I can't move. I am building forces. It is positive. But 22??? I don't get this one. I'd be happy to read your insights.Thanks.:bows:Mousse"
1540,"Hey AllI just got out of a rough patch in a relationship with a girl (mostly due to misunderstandings), so I asked the IC ""What type of relationship should I expect to have with x?"" (I was thinking about different types of relationships such as lovers, friends, the so called friends with benefits, etc.).Now I've been reading a lot about this reading (19.2.6) but I haven't seem to be able to connect it to a particular type of relationship, it all seems to point to a growing and nurturing relationship but I haven't found a reference to the type.Could anyone please help me with this one?.Thanx!"
1541,"I started seeing this guy but we live in different states and our time together didnt really give us time to form a real relationship, but I will be back there this summer so we stayed in touch as friends with an opening for more if that developed.  In the meantime we were free to date others, no committment, just staying in touch, getting together again when I go back if we are both available.  Over the past few months he has asked my help with several issues in his life, wanting my opinion as well as I Ching readings.  He prefers me to do it because he has no familiarity with it, but he has stated many times how impressed he was with my accuracy, both in the readings and just my own intuition.  Hes really great, and I do care about him a lot, but we have this one major issue that he is always misinterpreting things I say and accusing me of being jealous, followed by ignoring me for several days.  Recently he reconnected on facebook with a girl he knew years ago who broke his heart and whom I already knew he had unresolved feelings for.  He had ignored me again for several weeks, but immediately contacted me after talking to her for my opinion.  It has been up and down for the past couple of weeks, and though I supported his need to see if anything was left with her, we still had this cycle of accusations and apologies.  I finally told him the other day that while I accepted his apology I felt that it would happen again, but he was welcome to prove me wrong.  I then didnt hear from him for four days, so I wrote a text this morning and consulted the Yi about his response before I sent it.  I received 37.6 which most of my interpretations have as commanding respect and all of them say good fortune or auspicious, nothing to indicate an unwanted response.  Yet what I got was a very angry reply accusing me again of sending all these angry texts and he was tired of the jealousy, etc and then he dumped me completely and stated he was removing me from facebook and blocking my texts.  The wierd thing is he mentioned that he didnt think he and the old girlfriend were going to rekindle their love, but they still had a deep connection and he was happy for that, and he closed by saying I was a good person and he wished me a good life.  I tried to reply explaining he had misinterpreted again and also telling him he was being unfair and accusing me of things that were completely untrue.  I have no reason to be jealous.  If nothing else I trust my own intuition and the I Ching, and the last response I got about our relationship for this summer was 14 unchanging.  I was so looking forward to the summer because I never get 14.  Maybe I was asking too far in advance, too much time for things to change.  But Im still confused about the 37.6.  I dont believe Yi gives wrong answers, just ones I misinterpret.  And I have been known to misinterpret a lot, but lately I was dead on, running about 85%, and the ones I misinterpreted I could see in hindsight where I went wrong and just documented my journal.  So what do I add about 37.6  How did I get this wrong, because Im really stumped.  Thanks in advance for your assistance and sorry this is so long.  I just cannot seem to write in a concise manner."
1542,"I had a call yesterday morning from a potential tenant, who saw my house and was asking to rent it for a lot less than I would have liked. The house has not been rented for a long time, but despite that I was not pleased with the offer. I am trying to rationalise my reaction, cause even though I will be making little money, it's better than nothing. Last night I felt like saying no altogether, but this morning I woke up and after having cleared some clutter in my head and made new resolutions, I thought I'd ask the I-ching 'What if I rented out the house for that amount?' and got 51, changing lines 3 and 5. Now somehow I feel that 51 discusses more my resolutions that have nothing to do with the house...can you help?:bows:"
1543,"Two questions, and would love feedback..you all have the best insights!!!!What does the future hold for him and me?38 2.3.4.5 > 37Then next question:Is the Divine intention for this relationship marriage, is it Gods will for us to be married together?27 2.3.6 > 11"
1544,"Hi everyone,Am really trying to decide if a relationship is good for me or not.Against my better judgement, I allowed myself to enter a relationship with a man 10 years younger than me. It's scary to say the least.We get along great! no real issue's. W have been dating 4 months , see each other about 5 times a week.But I have this nagging doubt , maybe am just scared because of the age difference.. who know.I askedWhat do I need to know about my relationship with X. 34 1 3 6 going to 35Wow.. so many changing lines.  Maybe after butting my head with douts there is progress.??Can I trust X?    5.1 .3 .6  forgot what it when to.Hmmm  to soon to tell?The last question.... Is this relationship good for me?   got 11 unchangeingJust be a peace with what you have now?Any insights would be appriecated. Am I just hoping for to much from this relationship?Thank you"
